display  D   display_settings.c:202  debug_display_settings           [   0.05693] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05695] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05696] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05697] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.05700] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.05701] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.05702] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.05703] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.05705] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.05706] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05707] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05708] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05710] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.05713] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05714] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.05715] Single Buffer requirement not met.
